frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
193,9.190483,401.0,302.0,1,1.6015,-1.7607,42.8161,0.283,0,-1,-1,471.32,483.68,-1,15,missing,detect
194,9.238102,399.0,311.0,1,1.6401,-0.4173,28.2237,0.6613,0,-1,-1,465.15,499.97,-1,15,missing,detect
195,9.285721,397.0,319.0,1,1.6679,0.6648,22.7308,0.1744,0,-1,-1,457.98,513.63,-1,15,missing,detect
196,9.333340,393.0,336.0,1,1.7229,2.674,42.2089,0.0966,0,-1,-1,454.2,520.78,-1,15,missing,detect
197,9.380959,393.0,341.0,1,1.7529,3.2009,11.0834,1.6884,0,-1,-1,453.77,523.42,-1,15,missing,detect
198,9.428578,393.0,347.0,1,1.7869,3.7999,12.6004,0.0,0,-1,-1,451.7,524.12,-1,15,missing,detect
199,9.476197,391.0,357.0,1,1.8151,4.7254,19.4445,1.5146,0,-1,-1,449.96,524.33,-1,15,missing,detect
200,9.523816,393.0,353.0,1,1.8191,4.3656,7.5578,177.6153,0,-1,-1,451.96,523.12,-1,15,missing,detect
201,9.571436,-1,-1,0,-1,-1,-1,-1,0,-1,-1,455.06,520.12,-1,15,missing,detect
202,9.619055,-1,-1,0,-1,-1,-1,-1,0,-1,-1,449.95,507.25,-1,15,missing,detect
203,9.666674,-1,-1,0,-1,-1,-1,-1,0,-1,-1,445.86,498.24,-1,15,missing,detect
204,9.714293,-1,-1,0,-1,-1,-1,-1,0,-1,-1,444.15,491.37,-1,15,missing,detect
205,9.761912,-1,-1,0,-1,-1,-1,-1,0,-1,-1,443.87,487.51,-1,15,missing,detect
206,9.809531,-1,-1,0,-1,-1,-1,-1,0,-1,-1,443.83,483.03,-1,15,missing,detect
207,9.857150,-1,-1,0,-1,-1,-1,-1,0,-1,-1,442.94,475.51,-1,15,missing,detect
208,9.904769,-1,-1,0,-1,-1,-1,-1,0,-1,-1,442.49,466.43,-1,15,missing,detect
209,9.952388,-1,-1,0,-1,-1,-1,-1,0,-1,-1,441.99,459.12,-1,15,missing,detect
210,10.000007,-1,-1,0,-1,-1,-1,-1,0,-1,-1,441.43,454.25,-1,15,missing,detect
